candidate_id,website,metric_id,expert_score_raw,capped_score,decision_status,evidence_status,max_allowed_score,source_ids
P-008,kupit-minitraktor.ru,M06,2,2,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-008-01"
P-008,kupit-minitraktor.ru,M07,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-008,kupit-minitraktor.ru,M08,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-009,kupit-minitraktor.ru,M01,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-009-01"
P-009,kupit-minitraktor.ru,M02,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-009-01"
P-009,kupit-minitraktor.ru,M03,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-009-01"
P-009,kupit-minitraktor.ru,M04,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-009-01"
P-009,kupit-minitraktor.ru,M05,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-009-01"
P-009,kupit-minitraktor.ru,M06,2,2,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-009-01"
P-009,kupit-minitraktor.ru,M07,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-009,kupit-minitraktor.ru,M08,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-010,kupit-minitraktor.ru,M01,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-010-01"
P-010,kupit-minitraktor.ru,M02,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-010-01"
P-010,kupit-minitraktor.ru,M03,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-010-01"
P-010,kupit-minitraktor.ru,M04,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-010-01"
P-010,kupit-minitraktor.ru,M05,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-010-01"
P-010,kupit-minitraktor.ru,M06,2,2,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-010-01"
P-010,kupit-minitraktor.ru,M07,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-010,kupit-minitraktor.ru,M08,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
